ServiceID,ServiceName,ServiceDescription,DID
SRV0001,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0079
SRV0002,Khám nha y,Dịch vụ thú y tổng hợp,E0021
SRV0003,Tiêm vắc-xin panleukopenia,Dịch vụ thú y tổng hợp,E0082
SRV0004,Khám sau phẫu thuật,Dịch vụ thú y tổng hợp,E0097
SRV0005,Tiêm vắc-xin distemper,Dịch vụ thú y tổng hợp,E0116
SRV0006,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0078
SRV0007,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0095
SRV0008,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0084
SRV0009,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0001
SRV0010,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0022
SRV0011,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0016
SRV0012,Khám nha y,Dịch vụ thú y tổng hợp,E0048
SRV0013,Khám nha y,Dịch vụ thú y tổng hợp,E0097
SRV0014,Khám nội khoa,Dịch vụ thú y tổng hợp,E0117
SRV0015,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0104
SRV0016,Phẫu thuật da thịt,Dịch vụ thú y tổng hợp,E0016
SRV0017,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0050
SRV0018,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0113
SRV0019,Khám da liễu,Dịch vụ thú y tổng hợp,E0055
SRV0020,Khám nha y,Dịch vụ thú y tổng hợp,E0077
SRV0021,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0080
SRV0022,Khám nha y,Dịch vụ thú y tổng hợp,E0047
SRV0023,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0088
SRV0024,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0040
SRV0025,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0102
SRV0026,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0055
SRV0027,Khám nha y,Dịch vụ thú y tổng hợp,E0036
SRV0028,Khám nội khoa,Dịch vụ thú y tổng hợp,E0012
SRV0029,Khám nội khoa,Dịch vụ thú y tổng hợp,E0023
SRV0030,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0029
SRV0031,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0021
SRV0032,Khám hậu phục hồi,Dịch vụ thú y tổng hợp,E0018
SRV0033,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0112
SRV0034,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0112
SRV0035,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0038
SRV0036,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0005
SRV0037,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0085
SRV0038,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0090
SRV0039,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0003
SRV0040,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0004
SRV0041,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0095
SRV0042,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0048
SRV0043,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0018
SRV0044,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0094
SRV0045,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0016
SRV0046,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0013
SRV0047,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0016
SRV0048,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0096
SRV0049,Khám hậu phục hồi,Dịch vụ thú y tổng hợp,E0051
SRV0050,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0039
SRV0051,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0091
SRV0052,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0051
SRV0053,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0058
SRV0054,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0016
SRV0055,Khám nội khoa,Dịch vụ thú y tổng hợp,E0002
SRV0056,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0053
SRV0057,Khám nha y,Dịch vụ thú y tổng hợp,E0062
SRV0058,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0115
SRV0059,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0044
SRV0060,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0088
SRV0061,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0098
SRV0062,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0067
SRV0063,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0021
SRV0064,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0009
SRV0065,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0011
SRV0066,Tiêm vắc-xin panleukopenia,Dịch vụ thú y tổng hợp,E0104
SRV0067,Khám da liễu,Dịch vụ thú y tổng hợp,E0065
SRV0068,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0090
SRV0069,Khám da liễu,Dịch vụ thú y tổng hợp,E0079
SRV0070,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0094
SRV0071,Tiêm vắc-xin parvo,Dịch vụ thú y tổng hợp,E0061
SRV0072,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0066
SRV0073,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0102
SRV0074,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0077
SRV0075,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0099
SRV0076,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0004
SRV0077,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0104
SRV0078,Khám da liễu,Dịch vụ thú y tổng hợp,E0074
SRV0079,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0046
SRV0080,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0119
SRV0081,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0062
SRV0082,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0034
SRV0083,Tiêm vắc-xin dại,Dịch vụ thú y tổng hợp,E0107
SRV0084,Phẫu thuật hóa giải,Dịch vụ thú y tổng hợp,E0049
SRV0085,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0004
SRV0086,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0076
SRV0087,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0031
SRV0088,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0111
SRV0089,Khám nội khoa,Dịch vụ thú y tổng hợp,E0060
SRV0090,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0027
SRV0091,Khám sau phẫu thuật,Dịch vụ thú y tổng hợp,E0025
SRV0092,Khám sau phẫu thuật,Dịch vụ thú y tổng hợp,E0109
SRV0093,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0105
SRV0094,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0008
SRV0095,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0110
SRV0096,Tiêm vắc-xin distemper,Dịch vụ thú y tổng hợp,E0081
SRV0097,Khám nội khoa,Dịch vụ thú y tổng hợp,E0018
SRV0098,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0025
SRV0099,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0059
SRV0100,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0014
SRV0101,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0118
SRV0102,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0056
SRV0103,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0071
SRV0104,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0094
SRV0105,Phẫu thuật triệt sản,Dịch vụ thú y tổng hợp,E0120
SRV0106,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0109
SRV0107,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0071
SRV0108,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0105
SRV0109,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0105
SRV0110,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0012
SRV0111,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0063
SRV0112,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0007
SRV0113,Tiêm vắc-xin distemper,Dịch vụ thú y tổng hợp,E0075
SRV0114,Phẫu thuật da thịt,Dịch vụ thú y tổng hợp,E0012
SRV0115,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0036
SRV0116,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0113
SRV0117,Phẫu thuật triệt sản,Dịch vụ thú y tổng hợp,E0040
SRV0118,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0025
SRV0119,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0053
SRV0120,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0091
SRV0121,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0115
SRV0122,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0001
SRV0123,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0012
SRV0124,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0014
SRV0125,Khám da liễu,Dịch vụ thú y tổng hợp,E0068
SRV0126,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0021
SRV0127,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0104
SRV0128,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0024
SRV0129,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0048
SRV0130,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0061
SRV0131,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0015
SRV0132,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0050
SRV0133,Khám mắt thú y,Dịch vụ thú y tổng hợp,E0051
SRV0134,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0065
SRV0135,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0066
SRV0136,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0082
SRV0137,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0026
SRV0138,Tiêm vắc-xin parvo,Dịch vụ thú y tổng hợp,E0059
SRV0139,Tiêm vắc-xin herpes felina,Dịch vụ thú y tổng hợp,E0028
SRV0140,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0120
SRV0141,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0070
SRV0142,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0113
SRV0143,Phẫu thuật tai mũi họng,Dịch vụ thú y tổng hợp,E0062
SRV0144,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0041
SRV0145,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0065
SRV0146,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0070
SRV0147,Tiêm vắc-xin herpes felina,Dịch vụ thú y tổng hợp,E0103
SRV0148,Khám da liễu,Dịch vụ thú y tổng hợp,E0094
SRV0149,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0055
SRV0150,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0088
SRV0151,Tiêm vắc-xin bại liệt,Dịch vụ thú y tổng hợp,E0093
SRV0152,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0109
SRV0153,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0056
SRV0154,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0017
SRV0155,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0023
SRV0156,Tiêm vắc-xin herpes felina,Dịch vụ thú y tổng hợp,E0076
SRV0157,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0090
SRV0158,Khám da liễu,Dịch vụ thú y tổng hợp,E0022
SRV0159,Tiêm vắc-xin hepatitis,Dịch vụ thú y tổng hợp,E0116
SRV0160,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0039
SRV0161,Khám ngoại khoa,Dịch vụ thú y tổng hợp,E0093
SRV0162,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0033
SRV0163,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0024
SRV0164,Khám sau phẫu thuật,Dịch vụ thú y tổng hợp,E0063
SRV0165,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0043
SRV0166,Phẫu thuật tiêu hóa,Dịch vụ thú y tổng hợp,E0101
SRV0167,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0097
SRV0168,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0101
SRV0169,Tiêm vắc-xin panleukopenia,Dịch vụ thú y tổng hợp,E0040
SRV0170,Khám nội khoa,Dịch vụ thú y tổng hợp,E0090
SRV0171,Phẫu thuật amputate,Dịch vụ thú y tổng hợp,E0112
SRV0172,Tiêm vắc-xin chlamydia,Dịch vụ thú y tổng hợp,E0099
SRV0173,Phẫu thuật chỉnh hình,Dịch vụ thú y tổng hợp,E0078
SRV0174,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0113
SRV0175,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0038
SRV0176,Phẫu thuật mắt,Dịch vụ thú y tổng hợp,E0002
SRV0177,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0022
SRV0178,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0063
SRV0179,Khám sàng lọc định kỳ,Dịch vụ thú y tổng hợp,E0107
SRV0180,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0002
SRV0181,Gói tiêm phòng đầy đủ,Dịch vụ thú y tổng hợp,E0118
SRV0182,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0037
SRV0183,Gói tiêm phòng cơ bản,Dịch vụ thú y tổng hợp,E0002
SRV0184,Tiêm vắc-xin herpes felina,Dịch vụ thú y tổng hợp,E0035
SRV0185,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0027
SRV0186,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0026
SRV0187,Tiêm vắc-xin distemper,Dịch vụ thú y tổng hợp,E0106
SRV0188,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0075
SRV0189,Phẫu thuật cắt khối종,Dịch vụ thú y tổng hợp,E0100
SRV0190,Tiêm vắc-xin dại,Dịch vụ thú y tổng hợp,E0048
SRV0191,Gói tiêm phòng trí thức,Dịch vụ thú y tổng hợp,E0061
SRV0192,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0108
SRV0193,Phẫu thuật da thịt,Dịch vụ thú y tổng hợp,E0023
SRV0194,Tiêm vắc-xin bordetella,Dịch vụ thú y tổng hợp,E0096
SRV0195,Gói tiêm phòng nâng cao,Dịch vụ thú y tổng hợp,E0056
SRV0196,Khám chẩn đoán bệnh,Dịch vụ thú y tổng hợp,E0030
SRV0197,Phẫu thuật nha khoa,Dịch vụ thú y tổng hợp,E0077
SRV0198,Gói tiêm phòng chuyên nghiệp,Dịch vụ thú y tổng hợp,E0055
SRV0199,Tiêm vắc-xin leptospira,Dịch vụ thú y tổng hợp,E0018
SRV0200,Khám tổng quát cơ bản,Dịch vụ thú y tổng hợp,E0089
